kwe	horse	ku	climb/ascend	kup	finish	kum	year	kʰuk	knee
hu	young (of animal)/calf/foal	ʃut	brush (teeth)	hur	fan onself	pi	leech	kʰut	smoke
rop	rib	ʃap	able	jap	hit/strike	cap	cry/weep (v.)	ram	village
ni	laugh	nur	fight with	kʰə	laugh	no	child	nɐ	seven
kwe	break	kʰak	breath	kʰaw	shoulder bag	kʰam	door	kʰaw	shoulder-bag
tʰar	clean	tʰɐ	bile	tʰar	new	tʰɐŋ	bark (of tree)	tʰɐk	lung/chest
wor	sell	hi	uncle (mothers brother)	vu	uncle (mothers brother)	wa	rightside	we	mother
ru	untie	ru	ten	ruk	six	rum	add together	re	roast
ðar	aunt (mother's younger sister)	ðar	sister (younger than male ego)	tsa	grass	tʰar	new	tʰar	clean
sɐ	comb	si	buffalo	si	tempt	si	young (of animal)/calf/foal	si	tie
tsa	grass	tʰa	resemble/be like	ta	pine	tsɐ	fear/frighten	tsɐ	four
ʔi	I	ði	water	si	buffalo	ki	bite (v.)	si	tempt
ða	fall (from a height)	ta	pine	tʰa	resemble/be like	ða	fall	tsa	grass
kʰi	crooked	kʰwe	fish	kʰwe	knife	kʰwe	fish (general)	ðej	ant
nam	smell	nɐ	seven	nɐ	mother-in-law	nɐ	two	nɐ	ear
rɐŋ	alive	rɐŋ	alive/be living	ri	toast/cook from the side	ri	crab	reŋ	hunt
mɐt	squeeze	mwe	face	mwe	want/desire	ðej	ant	veŋ	light (weight)
ri	toast/cook from the side	ri	crab	rɐ	intestines	rɐ	intestines/bowels	re	roast
pwe	fly	pam	sit	sam	hair (head)	sam	hair of head	sam	run/flee
ke	cold	ku	climb/ascend	kup	finish	kum	year	kʰuk	knee
ʃap	able	sɐ	die/be dead	jip	sleep/ be asleep	mɐn	ripe/well-cooked	rɐŋ	alive/be living
pʰi	foot	ðej	ant	pʰi	calf (of leg)	pʰi	leg	pʰi	calf
li	tongue	le	field	le	navel	ðej	ant	lek	lick (v.)
ru	untie	ru	ten	ruk	six	rum	add together	ðɐ	grandchild
cir	saliva	cir	spit (v.)	tsɐ	horn	ði	water	pi	blind
ʔu	he/she	ʔa	antler (of deer)	ʔa	medicine	ʔa	pig	va	grandmother
kop	shoot	kop	shoot (v.)	ʃap	able	jap	hit/strike	nap	Flick the snot (from your nose)ǃ
a	come	ram	village	va	grandmother	ja	look at	ʔa	antler (of deer)
ru	untie	ru	ten	ruk	six	rum	add together	ri	toast/cook from the side
sɐ	blood	si	buffalo	si	tempt	si	young (of animal)/calf/foal	si	tie
tʰo	drive	tʰo	fat	te	uncle (fathers younger brother)	mok	brother-in-law of male (younger)	tʰok	fast/quick
ja	look at	jap	hit/strike	jak	ashamed	ju	palm	ʔa	antler (of deer)
tʰeŋ	dry	tʰeŋ	be dry	tʰe	awaken	tʰɐn	liver	te	uncle (fathers younger brother)
tʰeŋ	dry	tʰeŋ	be dry	tʰe	awaken	tʰɐŋ	bark (of tree)	te	uncle (fathers younger brother)
rɐ	medicine	ri	toast/cook from the side	ri	crab	ʔa	medicine	re	roast
ʃit	eight	ʃa	clan	ʃa	husband	ʃa	cook	wat	angry (hear is bursting)
ru	untie	ru	ten	ruk	six	rum	add together	ði	egg
lɐŋ	root	ju	accept	ju	left hand	ju	palm	luŋ	heart
wor	sell	vu	great grandfather	wa	rightside	we	mother	we	molar
kʰum	back	kʰu	chin	kʰu	bitter	kʰu	cough	kʰu	jaw (general)
ʃa	clan	ʃa	husband	ʃa	cook	wat	angry (hear is bursting)	ʃap	able
ðɐk	black	si	buffalo	si	tempt	si	young (of animal)/calf/foal	si	tie
ku	climb/ascend	kʰɐ	insect/bug/vermin	kup	finish	kum	year	kʰu	chin
tʰak	kick	tʰok	fast/quick	tʰa	resemble/be like	tʰar	new	tʰar	clean
nɐ	two	ni	laugh	nim	damp	ði	water	si	buffalo
luŋ	stone	luŋ	heart	lu	daughter	lu	ash/cinder	lu	arrow
pim	needle	pi	blind	pi	leech	pi	finish/be complete	pi	leech (land)
ru	untie	ru	ten	ruk	six	rum	add together	ði	water
kwe	horse	kwi	twenty	hwi	dog	hwi	dog (Canis familiaris)	kwe	break
mok	brother-in-law of male (younger)	ʃuk	borrow	tʰok	fast/quick	kʰok	basket	kʰok	basket (head-basket)
tʰɐt	kill	tʰɐ	bile	tɐt	cut (vegetables)	tʰɐk	lung/chest	tʰɐŋ	bark (of tree)
so	long	sam	hair (head)	sam	hair of head	sam	run/flee	naŋ	spin
si	buffalo	si	tempt	si	young (of animal)/calf/foal	si	tie	tʰi	fruit (general)
tʰo	drive	tʰa	resemble/be like	kʰaw	shoulder bag	kʰaw	shoulder-bag	tʰak	kick
tsɐ	four	tʰi	fruit (general)	tʰi	see/know	tʰi	exchange	ʃit	eight
ʃi	decay	ʃu	dove/pigeon (general term)	ʃu	hundred	ʃu	dove	ʃu	thick
tʰum	hide	tʰum	three	tʰuk	deep	tʰur	sour	kʰum	back
wat	angry (hear is bursting)	va	grandmother	va	paternal grandmother	wa	rightside	ðak	weave
co	deer	ca	be thirsty	aw	father	aw	paternal uncle (elder)	car	white
nɐ	leaf	nam	deceive	naŋ	spin	nap	Flick the snot (from your nose)ǃ	nap	stick (v.)
ðak	weave	jak	ashamed	ram	village	fak	pig	nak	fine
va	grandmother	va	paternal grandmother	fak	pig	ðak	weave	jak	ashamed
ni	laugh	nɐ	mother-in-law	nim	damp	mi	brother-in-law of female (older)	ði	water
him	bear	som	rice (hulled)	com	be hungry	ŋum	round	him	Tibetan/Himalayan bear (Selenarctos thibetanus)
tʰi	fruit (general)	tʰe	awaken	tʰeŋ	dry	tʰeŋ	be dry	we	eat (fruit)
sam	hair (head)	sam	hair of head	sɐ	comb	sɐ	scoop out	sɐ	one
pʰu	seek/search	pʰo	branch	tʰa	resemble/be like	pʰi	calf (of leg)	pʰi	foot
pʰɐn	belly/abdomen (external bulge)	pʰɐn	blow (mouth)	wuk	belly	pon	hand	pon	arm
kʰu	crab	kʰak	breath	kʰaw	shoulder bag	kʰam	door	kʰaw	shoulder-bag
su	body	sam	hair (head)	sam	hair of head	sam	run/flee	tsa	grass
sam	hair (head)	sam	hair of head	sam	run/flee	su	flesh/meat	tsa	grass
tʰɐk	lung/chest	tʰi	fruit (general)	tʰi	see/know	tʰi	exchange	tʰok	fast/quick
cap	cry/weep (v.)	tɕap	weep	ʃap	able	jap	hit/strike	nap	Flick the snot (from your nose)ǃ
ʃuŋ	arrive	ʃuŋ	correct	ʃu	dove/pigeon (general term)	ʃu	hundred	ʃu	dove
mor	mouth	sor	old	wor	sell	hor	mushroom	mok	brother-in-law of male (younger)
pam	sit	pwe	fly	sam	hair (head)	sam	hair of head	sam	run/flee
nɐŋ	stand	ni	laugh	nim	damp	naŋ	spin	nɐŋ	thou
rɐŋ	alive/be living	rɐŋ	alive	ri	toast/cook from the side	ri	crab	reŋ	hunt
rɐŋ	alive/be living	rɐŋ	alive	ri	toast/cook from the side	ri	crab	reŋ	hunt
ʃut	brush (teeth)	ʃu	dove/pigeon (general term)	ʃu	hundred	ʃu	dove	ʃu	thick
ham	pot	ham	yawn (v.)	hɐn	curry	him	Tibetan/Himalayan bear (Selenarctos thibetanus)	him	bear
nak	fine	ðɐk	burn/be on fire (v.i.)	nɐ	seven	nɐ	mother-in-law	nɐ	two
rɐk	throat	rɐk	rat	rɐk	louse	ðak	weave	lɐk	armpit
lɐk	armpit	ri	toast/cook from the side	ri	crab	rɐk	throat	ruk	six
ni	laugh	nim	damp	mi	sister of female (elder)	ði	water	si	buffalo
pon	arm	pam	sit	naŋ	spin	pʰuŋ	mountain	sam	hair (head)
tɐk	pound/crush	tʰɐk	lung/chest	tek	green	tɐŋ	marrow	tɐt	cut (vegetables)
ce	dig	cu	necklace	cuŋ	(be) many	ðej	ant	car	white
ʃa	clan	ʃa	husband	ʃa	cook	ʃap	able	ʃam	chase
cu	necklace	cuŋ	(be) many	ce	burn off fields/slash and burn	ðej	ant	car	white
kʰwe	fish	kʰwe	fish (general)	kʰak	breath	kʰaw	shoulder bag	kʰam	door
sam	run/flee	sɐ	comb	sɐ	scoop out	sɐ	one	sɐ	die
lu	daughter	lu	ash/cinder	lu	arrow	luŋ	heart	luŋ	stone
cap	cry/weep (v.)	tɕap	weep	ʃap	able	jap	hit/strike	nap	Flick the snot (from your nose)ǃ
pi	blind	pi	finish/be complete	pʰwi	snake	pwe	easy	pwe	fly
tsa	grass	tʰa	resemble/be like	ta	pine	tsɐ	fear/frighten	tsɐ	four
kʰu	bitter	tʰa	resemble/be like	kʰak	breath	kʰaw	shoulder bag	kʰam	door
tsɐ	four	tʰi	fruit (general)	tʰi	see/know	tʰi	exchange	ði	water
mok	brother-in-law of male (younger)	ʃuk	borrow	tʰok	fast/quick	kʰok	basket	kʰok	basket (head-basket)
va	grandmother	va	paternal grandmother	aw	father	vu	father-in-law	wa	rightside
ta	pine	ða	fall (from a height)	ða	fall	tʰa	resemble/be like	tsa	grass
tʰa	resemble/be like	kʰaw	shoulder bag	kʰaw	shoulder-bag	tʰak	kick	tʰar	new
tek	green	te	uncle (fathers younger brother)	te	words/speech	lek	lick (v.)	tɐk	pound/crush
wor	sell	mor	mouth	sor	old	hor	mushroom	pʰor	lung
wuk	belly	wuk	stomach	wu	bird (general)	wu	go	ruk	six
wuk	belly	wuk	stomach	wu	bird (general)	wu	go	ruk	six
ki	kidney	ðej	ant	ke	head	ke	cold	kwe	break
ŋɐ	five	va	grandmother	ja	look at	ʔa	antler (of deer)	ʃa	clan
cu	necklace	cuŋ	(be) many	ce	burn off fields/slash and burn	ðej	ant	car	white
ram	village	rɐ	wait	ʃap	able	jap	hit/strike	ðak	weave
kʰi	bee	kʰu	chin	kʰu	bitter	kʰu	cough	kʰu	jaw (general)
mɐ	person	mi	tail (of animal)	mi	sister of female (elder)	mi	brother-in-law of female (older)	mi	more than (comparative degree)
cir	saliva	cir	spit (v.)	tsɐ	fear/frighten	ði	water	pi	blind
naŋ	spin	ni	laugh	nim	damp	nɐŋ	stand	nɐŋ	thou
cu	necklace	ca	be thirsty	car	white	cap	cry/weep (v.)	va	grandmother
lek	lick (v.)	le	field	le	navel	tek	green	lɐk	armpit
hɐ	call	hon	expect	hor	mushroom	hi	uncle (mothers brother)	hi	wither
rɐ	iron	ri	toast/cook from the side	ri	crab	re	roast	ði	water
ʃu	hundred	ʃa	clan	ʃa	husband	ʃa	cook	ʃap	able
nɐ	seven	ni	laugh	nim	damp	ði	water	si	buffalo
ðej	ant	mi	brother-in-law of female (older)	mwe	face	mwe	want/desire	te	uncle (fathers younger brother)
tʰak	kick	tʰa	resemble/be like	tʰar	new	tʰar	clean	kʰak	breath
ʃuk	borrow	ʃu	dove/pigeon (general term)	ʃu	hundred	ʃu	dove	ʃu	thick
ru	ten	ram	village	a	come	va	grandmother	ja	look at
tʰok	fast/quick	tek	green	tɐk	pound/crush	mok	brother-in-law of male (younger)	ʃe	brain
co	deer	con	help	com	be hungry	ca	be thirsty	ce	dig
ce	tall	cu	necklace	cuŋ	(be) many	ðej	ant	car	white
nɐŋ	think	ni	laugh	nim	damp	naŋ	spin	nɐŋ	stand
ku	climb/ascend	va	grandmother	ja	look at	ʔa	antler (of deer)	ʃa	clan
si	tie	su	body	su	do	su	flesh/meat	sun	joint
sun	joint	su	body	su	do	su	flesh/meat	ŋun	corpse/dead body
pʰu	seek/search	pʰo	branch	tʰa	resemble/be like	pʰi	calf (of leg)	pʰi	foot
kʰɐ	scratch/scrape	kʰut	smoke	kʰok	basket	kʰok	basket (head-basket)	ðot	rice (cooked)
pʰwi	snake	pʰi	calf (of leg)	pʰi	foot	pʰi	leg	pʰi	calf
kɐ	nine	ko	thin	kop	shoot (v.)	kon	cross	kop	shoot
jap	hit/strike	jip	sleep/ be asleep	jip	sleep/lie down	nap	stick (v.)	ʃap	able
tʰɐn	liver	tʰi	fruit (general)	tʰi	see/know	tʰi	exchange	kʰi	bee
nɐ	ear	nam	deceive	naŋ	spin	nap	Flick the snot (from your nose)ǃ	nap	stick (v.)
kʰak	breath	kʰɐ	scratch/scrape	kʰɐ	insect	kʰɐ	insect/bug/vermin	kʰok	basket
ram	village	rɐt	heavy	rɐ	medicine	rɐ	intestines/bowels	rɐ	bone
tʰum	three	tʰum	hide	tʰuk	deep	tʰur	sour	kʰum	back
pon	hand	pam	sit	naŋ	spin	pʰuŋ	mountain	sam	hair (head)
tɐŋ	marrow	tsɐ	fear/frighten	tsɐ	four	tsɐ	moon	tsɐ	horn
rɐk	rat	mok	brother-in-law of male (younger)	tʰok	fast/quick	kʰok	basket	kʰok	basket (head-basket)
ʃur	follow	ʃu	dove/pigeon (general term)	ʃu	hundred	ʃu	dove	ʃu	thick
rum	add together	ru	untie	ru	ten	ram	village	lum	warm
tʰo	fat	tʰa	resemble/be like	kʰaw	shoulder bag	kʰaw	shoulder-bag	tʰak	kick
tʰuk	deep	tʰak	kick	tʰok	fast/quick	tʰur	sour	tʰɐk	lung/chest
sam	hair (head)	sam	hair of head	sam	run/flee	ʃam	chase	ram	village
sam	hair (head)	sam	hair of head	sam	run/flee	tsa	grass	va	grandmother
tɐŋ	marrow	ta	pine	tʰɐŋ	bark (of tree)	tɐt	cut (vegetables)	tɐk	pound/crush
ʃuŋ	correct	ʃuŋ	arrive	ʃu	dove/pigeon (general term)	ʃu	hundred	ʃu	dove
ʃu	thick	ʃa	clan	ʃa	husband	ʃa	cook	ʃap	able
rɐk	throat	rɐk	rat	rɐk	louse	lɐk	armpit	rɐt	heavy
ki	bite	kɐ	nine	kɐ	bark	kɐ	bark (of tree)	ki	bite (v.)
kʰu	cough	kʰak	breath	kʰaw	shoulder bag	kʰam	door	kʰaw	shoulder-bag
kʰɐ	insect	ku	climb/ascend	kum	year	kʰu	chin	kʰu	bitter
nap	stick (v.)	nɐ	hear (v.)	nɐ	seven	nɐ	mother-in-law	nɐ	two
li	exist/be	le	field	le	navel	ðej	ant	lek	lick (v.)
luŋ	heart	luŋ	stone	lu	daughter	lu	ash/cinder	lu	arrow
kʰut	smoke	kʰu	chin	kʰu	bitter	kʰu	cough	kʰu	jaw (general)
ce	lip	ca	be thirsty	cap	cry/weep (v.)	car	white	nam	deceive
pʰwi	snake	pʰo	branch	tʰa	resemble/be like	pʰi	calf (of leg)	pʰi	foot
tʰɐŋ	bark (of tree)	tʰi	fruit (general)	tʰi	see/know	tʰi	exchange	tʰeŋ	dry
mɐŋ	name	mi	tail (of animal)	mi	sister of female (elder)	mi	brother-in-law of female (older)	mi	more than (comparative degree)
lu	arrow	va	grandmother	ja	look at	ʔa	antler (of deer)	ʃa	clan
li	earth	le	field	le	navel	ðej	ant	lek	lick (v.)
vɐn	flower	wa	rightside	wat	angry (hear is bursting)	fak	pig	ðak	weave
vu	uncle (mothers brother)	vu	father-in-law	vu	great grandfather	vu	grandfather	vu	paternal grandfather
co	deer	con	help	com	be hungry	cir	spit (v.)	ca	be thirsty
muk	cattle	mok	brother-in-law of male (younger)	ruk	six	wuk	stomach	wuk	belly
kʰu	bitter	kʰak	breath	kʰaw	shoulder bag	kʰam	door	kʰaw	shoulder-bag
kum	year	kʰum	back	ku	climb/ascend	rum	add together	lum	warm
lɐ	steal	li	buffalo	li	squirrel	li	exist/be	li	earth
kup	finish	ku	climb/ascend	kop	shoot (v.)	kop	shoot	kum	year
pʰuŋ	mountain	pʰu	seek/search	pʰi	calf (of leg)	pʰi	foot	pʰi	leg
nɐ	mother-in-law	ni	laugh	nim	damp	mi	brother-in-law of female (older)	ði	water
ʃim	house	ʃim	mortar	ʃim	sweet	ʃi	decay	ʃit	eight
cap	cry/weep (v.)	tɕap	weep	ʃap	able	jap	hit/strike	nap	Flick the snot (from your nose)ǃ
hon	expect	hɐn	curry	vɐn	flower	mɐn	ripe/well-cooked	hɐ	carry on shoulders
nɐ	nose	nap	Flick the snot (from your nose)ǃ	nam	deceive	naŋ	spin	nap	stick (v.)
fak	pig	hor	mushroom	hon	expect	mok	brother-in-law of male (younger)	ʔa	pig
kʰwe	knife	kʰak	breath	kʰaw	shoulder bag	kʰam	door	kʰaw	shoulder-bag
ŋun	corpse/dead body	sun	joint	ŋum	round	con	help	hon	expect
kʰu	chin	kʰak	breath	kʰaw	shoulder bag	kʰam	door	kʰaw	shoulder-bag
tʰur	sour	tʰuk	deep	tʰum	hide	tʰum	three	tʰe	awaken
tɐt	cut (vegetables)	tʰɐt	kill	tɐŋ	marrow	tɐk	pound/crush	fɐt	ashes
tu	far	tuŋ	descend	te	words/speech	tʰur	sour	tʰuk	deep
hɐn	curry	hon	expect	vɐn	flower	mɐn	ripe/well-cooked	hɐ	carry on shoulders
mɐn	ripe/well-cooked	mi	tail (of animal)	mi	sister of female (elder)	mi	brother-in-law of female (older)	mi	more than (comparative degree)
tʰur	sour	tʰar	new	tʰar	clean	tʰum	hide	tʰum	three
kɐ	bark	ko	thin	sor	old	wor	sell	hor	mushroom
lɐ	buy	lo	shadow	le	field	le	navel	li	buffalo
kʰam	door	kʰak	breath	kʰaw	shoulder bag	kʰaw	shoulder-bag	kʰum	back
ji	leftside	ju	accept	ju	left hand	ju	palm	jap	hit/strike
ham	pot	har	chicken/fowl (general term)	ham	yawn (v.)	fu	tooth	va	grandmother
reŋ	hunt	ru	untie	ru	ten	roŋ	slingshot	luŋ	heart
hur	fan onself	har	chicken/fowl (general term)	hu	young (of animal)/calf/foal	hor	mushroom	nur	fight with
nam	deceive	naŋ	spin	nap	Flick the snot (from your nose)ǃ	nap	stick (v.)	nak	fine
tsa	grass	tʰa	resemble/be like	ta	pine	tsɐ	fear/frighten	tsɐ	four
ham	pot	har	chicken/fowl (general term)	ham	yawn (v.)	hɐ	carry on shoulders	va	grandmother
ðej	ant	mi	more than (comparative degree)	mwe	face	mwe	want/desire	veŋ	light (weight)
su	do	sam	hair (head)	sam	hair of head	sam	run/flee	tsa	grass
kʰɐ	scratch/scrape	kʰut	smoke	kʰok	basket	kʰok	basket (head-basket)	ðot	rice (cooked)
ði	spear	tʰe	awaken	tɕe	burn	tɕe	burn down	tʰeŋ	dry
lum	warm	lu	daughter	lu	ash/cinder	lu	arrow	luŋ	heart
pʰor	lung	tʰar	new	tʰar	clean	tʰɐk	lung/chest	pʰo	branch
lɐt	self	lɐ	buy	lɐ	steal	lɐk	armpit	lɐŋ	root
naŋ	spin	ca	be thirsty	car	white	cap	cry/weep (v.)	cuŋ	(be) many
kwe	pestle	ku	climb/ascend	kup	finish	kum	year	kʰuk	knee
cuŋ	(be) many	cu	necklace	tuŋ	descend	luŋ	heart	luŋ	stone
som	rice (hulled)	sam	hair (head)	sam	hair of head	sam	run/flee	ʃam	chase
ru	untie	ru	ten	ruk	six	rum	add together	pʰwi	snake
pam	sit	pim	needle	pʰɐn	belly/abdomen (external bulge)	pʰɐn	blow (mouth)	sɐ	comb
pu	buttocks	pu	brother of female (younger)	pʰuŋ	mountain	pʰu	seek/search	pam	sit
hor	mushroom	va	grandmother	va	paternal grandmother	ðar	aunt (mother's younger sister)	car	white
tsa	grass	tʰa	resemble/be like	ta	pine	tsɐ	fear/frighten	tsɐ	four
rɐ	son-in-law	ri	toast/cook from the side	ri	crab	mi	brother-in-law of female (older)	re	roast
wuk	belly	wuk	stomach	vu	uncle (mothers brother)	vu	father-in-law	vu	great grandfather
jak	ashamed	rɐk	throat	rɐk	rat	rɐk	louse	tɐk	pound/crush
pʰi	wash	pʰwi	snake	pʰi	calf (of leg)	pʰi	foot	pʰi	leg
lwe	forget	ʃap	able	jap	hit/strike	ðak	weave	jak	ashamed
ham	pot	har	chicken/fowl (general term)	ham	yawn (v.)	fu	axe	va	grandmother
cir	saliva	cir	spit (v.)	tsɐ	salt	ði	water	pi	blind
tʰak	kick	tʰɐk	lung/chest	tʰɐ	bile	tɐk	pound/crush	tʰɐŋ	bark (of tree)
ŋum	round	ŋun	corpse/dead body	lum	warm	kum	year	rum	add together
ʃim	mortar	ʃim	sweet	ʃim	house	ʃi	decay	ʃit	eight
mɐ	give	mi	tail (of animal)	mi	sister of female (elder)	mi	brother-in-law of female (older)	mi	more than (comparative degree)
tʰe	awaken	tʰur	sour	tʰuk	deep	tʰum	hide	tʰum	three
ʃim	sweet	ʃim	mortar	ʃim	house	ʃi	decay	ʃit	eight
veŋ	light (weight)	reŋ	hunt	tʰeŋ	dry	tʰeŋ	be dry	we	mother
mɐŋ	name	ma	dream	mɐ	give	mɐ	person	tɐŋ	marrow
ca	be thirsty	car	white	cap	cry/weep (v.)	ðej	ant	va	grandmother
pam	sit	pwe	easy	ca	be thirsty	pi	finish/be complete	sam	hair (head)
mi	fire	ðej	ant	mwe	face	mwe	want/desire	veŋ	light (weight)
si	tempt	su	body	su	do	su	flesh/meat	sun	joint
si	buffalo	si	tempt	si	young (of animal)/calf/foal	si	tie	ði	water
pam	sit	naŋ	spin	pon	hand	pon	arm	pʰuŋ	mountain
tʰi	exchange	tʰur	sour	tʰuk	deep	tʰum	hide	tʰum	three
