le	moon
we	bird
ham	yawn
pej	fly (v.)
sam	chase
sɐp	blink
tse	hear
nuk	smile; laugh
huk	elephant
sik	bleed (v.)
kɐm	year
tuk	short (length)
tse	lower lip
sɐŋ	road/path
maʔ	brother-in-law
ji	rightside
ve	be pregnant
ram	village
hej	expect
se	flesh; meat
kʰɐm	back
vow	shout
nɐŋ	sister-in-law
kʰu	neck
tsa	like/desire/want
lik	armpit
nam	basket strap
moʔ	banana
tse	be sick/be ill/hurt
sɐŋ	joint
tuk	short (height)
pu	fart
sik	one
tsoʔ	black
tʰe	dry
nik	seven
suʔ	exit
kʰu	insect/bug/vermin
tsik	tight
kʰu	insect
vejʔ	angry (hear is bursting)
soʔ	difficult/cold
suʔ	produce/emerge
lam	placenta/afterbirth
so	penis
rɐŋ	guts; intestine; viscera
mɐŋ	name
wuʔ	belly; abdomen
kaʔ	kick
rɐm	add together
pʰu	foot
leʔ	break
mejʔ	extinguish/put out fire
pʰu	foot; leg
ʔa	back
tʰow	drive
we	bird (general)
jep	sleep/ be asleep
kʰej	fish
mo	dream
vejʔ	soft (to touch)
sa	old
nu	wrinkle
tsuk	dove
se	lend
lej	leech (land)
tsuk	touch
kʰə	burn/be on fire (v.i.)
se	hundred
rik	medicine/juice
ke	climb/ascend
vue	left (side)
ruk	chop
tik	carcass
kʰu	crooked
jep	sleep/lie down
re	be born
suk	tie
juʔ	rat
me	give
ju	1pl
lej	leech
vuk	carry (on shoulders)
pʰi	branch/bough
pʰuŋ	mountain
kʰuʔ	knee
saʔ	able
lɐm	warm
le	navel
nik	two
hu	wither
li	steal
tsik	horn; antler
hɐŋ	skin
ʃe	thorn
pʰu	leg
re	sharpen
pej	shallow
kej	break
se	thick
ruk	egg (of animal)
le	star
re	come
vɐm	round
ri	iron
lu	to vomit
wuʔ	burst
naʔ	stick (v.)
le	forget
kʰej	crab
va	mushroom
muʔ	cattle/cow
tsow	deer (generic)
mu	tail
row	roast
mej	face
re	ten
haw	start
pʰe	seek/search
mi	scar
vu	crawl
kʰɐp	sew
lu	exist
ri	small intestine
kɐn	twenty
vi	light (weight)
ku	bark (of tree)
ni	leaf
ni	nose
re	hunt
sik	blood
nik	mother-in-law
kʰə	burn
joʔ	ashamed
kʰe	jawbone
naʔ	snot; mucous
kʰɐm	door
row	crab
ruk	grandchild (nephew)
mu	more than (comparative degree)
a	armpit
re	finger
le	sing
luʔ	brain
sam	hair of head
tsow	hot
lu	roll
pʰej	blow
vɐm	uterus/womb
now	fry
sejʔ	rub
nem	low
nam	smell
kʰu	knife
su	decay
kɐp	finish
tʰu	see; look
woʔ	copulate (v.)/have intercourse
suŋ	correct
sam	hair (general)
ho	chicken/fowl (general term)
mɐŋ	ripe/well-cooked
roʔ	louse
rik	medicine
kʰe	cough
tsejʔ	walk
kʰej	scoop out/dish out
huk	dog
tsɐm	sit
lɐŋ	marrow
ju	sell
tsuk	dove/pigeon (general term)
wu	to swell/ be swollen
rɐŋ	large intestine
pu	cooked rice
raʔ	rib
vuk	maternal grandfather
vej	hand; arm
nej	near
tʰoʔ	chest
kʰej	fish (general)
su	tempt
now	child
low	field
ruk	grandchild
kow	head
pu	rice (cooked)
nɐŋ	mind/locus of thought
re	son-in-law
tʰu	sour
su	open
tse	ant
ʃe	body
ni	ear
tsɐr	spit
ʔa	calf (of leg)
tsu	spit (v.)
kʰow	dirty
kʰɐ	deaf
je	respect
ŋun	corpse
lik	blow (mouth)
tʰejʔ	kill
tsɐm	suck (v.) (as a leech)
kʰej	pound/crush
lik	blow
keʔ	green
sɐŋ	clothes
mu	fire
se	do
rɐŋ	alive
nu	fight; play (with the hands)
ke	crotch; fork of legs
tsu	spear
ce	necklace
tso	thirsty
suk	wash
kaʔ	shoot (v.)
tsam	saliva
lu	buy
tʰu	full (stomach)
kʰoʔ	breath
